ID,Invoice_Value,Taxable_Amount,GST_Amount,SGST,CGST,IGST,Supply,Reverse_Charge,Eway_Bill_Flag,Supplier_Turnover,Buyer_Turnover,HighRisk_Flag,Fraudulent_Label
1,0,0,2273.576078,-0.368002786,-0.495376965,-0.00801146,-0.404263016,-0.015926319,-0.708498963,0.00146338,-0.004566289,0,1
2,5.664231698,554.3205998,1805.85855,-1.043332192,-1.874473625,0.005694811,-0.421988614,-0.015865686,-0.832506543,0.001262107,0.003314778,0,1
3,0,0,979.1328662,-0.414728918,-0.506946305,-0.006781162,-0.379729095,-0.014509616,0.97396869,0.001233435,0.003546592,0,1
4,0,1058.271209,4802.21352,0.659814397,0.671087026,-0.007805057,-0.051119759,-0.01507708,0.939806963,0.001330159,0.003117784,0,1
5,0,2018.540889,7177.991277,0.485864765,0.48332689,-0.00704764,-0.420228246,-0.014819836,0.537467596,0.001312696,0.003073744,0,1
6,0,0,8.35332268,-0.412998764,-0.439161284,-0.008019695,-0.372593583,-0.016729196,-0.836131032,0.001452119,0.003202725,0,1
7,0,277.9129522,918.3194074,-1.447236043,-0.977843685,-0.006762962,-0.446076895,-0.015779265,0.697579239,0.001482452,0.00360379,0,1
8,0,20.36618084,1499.885201,0.656947728,0.751427787,-0.007076559,-0.415554094,-0.014930119,-0.761898569,0.001232339,0.003710674,0,1
9,0,516.7765741,18.51200892,-0.824634954,-0.787255788,-0.00697269,-0.42151963,-0.014390059,0.806281801,0.001262749,0.00368141,0,1
10,1.900573745,131.5167339,16.40592336,-1.328374444,-1.174565141,-0.006728527,-0.435808287,-0.014167236,0.715417154,0.001449961,0.003346835,0,1
11,0,0,3694.158342,-0.419929622,-0.442869295,-0.008178552,3.757127084,-0.015629385,0.030144124,0.001309938,0.003232447,0,1
12,0,243.4967007,4645.051139,-0.929495333,-1.8373024,-0.007452818,-0.412666013,-0.014081404,-0.815787473,0.001295087,0.003598516,0,1
13,0,842.7375056,2996.281176,-2.098616179,-1.714569977,0.006215579,-0.432762487,-0.015126276,-0.788039706,0.001476647,0.00363577,0,1
14,0,34.7269963,1259.882696,0.614759577,0.65566201,-0.007237368,-0.442298168,-0.015185462,0.116485025,0.001264508,0.003536247,0,1
15,0,135.2144186,1383.458657,0.703057353,0.681398136,-0.007209157,-0.441536086,-0.016222317,-0.723960613,0.001326527,0.003667795,0,1
16,0,0,3154.926575,-0.425772348,-0.450433171,-0.007490292,-0.409862608,-0.016989326,-0.756163699,0.001254612,-0.005205641,0,1
17,0,0.934893403,1616.724064,-0.353862988,-0.446624559,-0.007350226,-0.4406959,-0.014428838,0.228221081,0.001381529,0.003591599,0,1
18,1.083519593,204.0700747,16.27405772,0.657454156,0.681749231,-0.007785524,-0.407331964,-0.0140558,-0.703574255,0.001363317,0.003277059,0,1
19,0,47.24598416,478.0687254,-0.661938034,-0.562589241,-0.007285562,-0.441186694,-0.01580719,-0.73111517,0.001309299,0.003720868,0,1
20,0,0.948356249,545.5390687,-0.353051776,-0.472747858,-0.007950847,-0.416489939,-0.014717958,0.730083841,0.001237715,0.003444749,0,1
21,0,0,2016.670133,-0.426376734,-0.452701345,-0.007587903,-0.387386669,-0.014962163,0.339636949,0.001449411,0.003463485,0,1
22,1.880409438,91.28652538,119.7766428,-2.025464563,-2.020093245,0.005708893,-0.374303966,-0.015389991,-0.803456889,0.001369754,0.003081301,0,1
23,0,361.8216965,1599.98792,-0.813279333,-0.979604173,-0.008141987,-0.349976169,-0.014955284,0.263518363,0.001478958,0.003629392,0,1
24,2.076861566,1722.310518,655.0178503,0.647385273,0.766232013,-0.006722952,-0.435567243,-0.014522312,-0.820060212,0.00133941,0.003263027,0,1
25,0,31.26055944,1930.938872,0.660397671,0.756654917,-0.007824238,-0.368105951,-0.014726003,-0.713722715,0.001273781,0.003691252,0,1
26,0,1116.211172,2832.387254,-0.409319622,-0.504672722,0.006629645,-0.418227681,-0.015631848,-0.758316431,0.001344827,0.00331158,0,1
27,0,1911.832597,1305.465659,-1.850901511,-1.465968666,-0.006926537,1.338137353,-0.014620685,0.9702621,0.001231312,0.003213106,0,1
28,0,1.020951753,129.4202903,-0.367232971,-0.470094887,-0.007079892,-0.428929047,-0.014103322,-0.786138171,0.001418,0.003698512,0,1
29,0,0,3408.541492,-0.399626937,-0.488854155,0.006452409,-0.370997342,-0.015198835,-0.755068656,0.0012178,-0.005057637,0,1
30,3.917135643,0,49.11645902,-0.413503766,-0.515357973,-0.007557507,-0.372973033,-0.014169108,-0.85147751,0.001306737,0.003588718,0,1
31,0,0,137.6879357,-0.424930963,-0.507020637,-0.007141969,-0.389832556,-0.014529661,0.845157149,0.001300983,0.003597522,0,1
32,0,0,6314.620951,-0.370587568,-0.496062803,-0.007840765,-0.414964276,-0.015991703,-0.829993885,0.001454011,-0.005298804,0,1
33,0,343.1890963,4443.018592,0.001445662,0.060375353,-0.007066708,-0.443313095,-0.015950993,0.414709113,0.001266797,0.003340199,0,1
34,0,0,1633.049354,-0.394040088,-0.456476729,-0.007716589,-0.397839365,-0.014814576,-0.75488026,0.00122884,0.003674988,0,1
35,0,83.00810843,297.8076345,0.708087952,0.651688691,-0.007017495,-0.434078568,-0.014106611,-0.728741841,0.001429395,0.003347279,0,1
36,0,0,2497.37057,-0.403769855,-0.458576812,0.005712724,-0.427484131,-0.015789441,-0.772486213,0.001331332,-0.00490052,0,1
